solver,step,time_s,work_units,initial_residual,final_residual,final_relative_residual,convergence_factor,sec_per_work_unit_from_campaign,estimated_pressure_time_s
MG3V,1,9.9999999999999995e-08,88.0,14394028032.000002,1431902.5625019073,9.9478933854969657e-05,0.9005745543345145,0.0014682074581552514,0.12920225631766213
MG3V,2,2.1999999999999998e-07,127.0,14247321612.170654,295118.49883583188,9.7132284342818108e-05,0.91858676268723127,0.0014682074581552514,0.18646234718571691
MG3V,3,3.6399999999999998e-07,58.0,1195591060.9158902,181478.373155348,9.8441281719960689e-05,0.85932876315136242,0.0014682074581552514,0.08515603257300458
MG3V,4,5.3679999999999999e-07,9.0,577667739.39755201,95070.728309322149,7.4484654157248525e-05,0.37983634908509151,0.0014682074581552514,0.013213867123397262
MG3V,5,7.4415999999999996e-07,6.0,342976905.90184271,67048.116334677281,7.1545873278332887e-05,0.24090932854767144,0.0014682074581552514,0.008809244748931508
MG3V,6,9.9299199999999984e-07,12.0,223748329.87524116,68263.552886397578,9.5461551950925706e-05,0.50937280796971962,0.0014682074581552514,0.017618489497863016
MG3V,7,1.2915903999999997e-06,15.0,153974229.19901955,54753.881671087816,9.7423484074820666e-05,0.58893105843254012,0.0014682074581552514,0.02202311187232877
MG3V,8,1.6499084799999995e-06,8.0,109621655.67262226,38236.345735151321,8.4418917541269516e-05,0.36967706102919284,0.0014682074581552514,0.011745659665242011
MG3V,9,2.0798901759999993e-06,6.0,79922872.257609665,27493.27143932227,7.3646785520483816e-05,0.26470321905654803,0.0014682074581552514,0.008809244748931508
MG3V,10,2.5958682111999989e-06,5.0,59369821.816242397,23184.960227773525,7.3818001907271965e-05,0.20812685513594975,0.0014682074581552514,0.007341037290776257
MG3V,11,3.2150418534399987e-06,6.0,44835895.944469303,21615.218503418146,8.0274613885898737e-05,0.28001994303303818,0.0014682074581552514,0.008809244748931508
MG3V,12,3.9580502241279978e-06,6.0,34505786.275535464,22899.798342633527,9.7548297115096356e-05,0.29534069213276598,0.0014682074581552514,0.008809244748931508
MG3V,13,4.8496602689535971e-06,6.0,27094032.51847896,20042.724110295298,9.6517910566886795e-05,0.30073260537570629,0.0014682074581552514,0.008809244748931508
MG3V,14,5.9195923227443166e-06,5.0,21765997.531844974,17849.330722540617,9.6020244920090413e-05,0.24141745770009329,0.0014682074581552514,0.007341037290776257
MG3V,15,7.2035107872931793e-06,5.0,17962738.278498709,11665.38785154745,6.946545455938426e-05,0.23041212439375344,0.0014682074581552514,0.007341037290776257
MG3V,16,8.7442129447518142e-06,4.0,15272779.331522137,10615.568964486942,6.9538504306449611e-05,0.16237019034257918,0.0014682074581552514,0.0058728298326210055
MG3V,17,1.0593055533702177e-05,4.0,13393082.489521414,10106.963477477431,7.2571971851263941e-05,0.16574293997291251,0.0014682074581552514,0.0058728298326210055
MG3V,18,1.2811666640442613e-05,4.0,12075751.042404488,11047.639194458723,8.6857888839505441e-05,0.17391571750313653,0.0014682074581552514,0.0058728298326210055
