solver,source_file,window_end_s,solves,cumulative_work_units,mean_work_units_per_solve,zero_work_fraction,one_or_less_fraction,max_work_units,initial_residual_median,initial_residual_max,final_rel_residual_max,sec_per_work_unit_from_campaign,estimated_cumulative_pressure_time_s
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.001,117,567.0,4.846153846153846,0.0,0.42735042735042733,127.0,26369.431471392512,14394028032.000002,9.998862675347423e-05,0.0014682074581552514,0.8324736287740275
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.005,505,756.0,1.497029702970297,0.3940594059405941,0.8673267326732673,127.0,5348.830524974902,14394028032.000002,9.998862675347423e-05,0.0014682074581552514,1.10996483836537
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.01,990,992.0,1.002020202020202,0.4707070707070707,0.9141414141414141,127.0,5014.5434135161395,14394028032.000002,9.998862675347423e-05,0.0014682074581552514,1.4564617984900095
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.05,4871,3275.0,0.6723465407513858,0.5645657975774995,0.8417162800246356,127.0,4686.626743362098,14394028032.000002,9.998862675347423e-05,0.0014682074581552514,4.808379425458448
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.1,9721,5874.0,0.6042588211089394,0.5671227239995885,0.8680176936529164,127.0,4675.279050303382,14394028032.000002,9.999843788160527e-05,0.0014682074581552514,8.624250609203946
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.25,24273,13874.0,0.5715815927161867,0.5705104437028797,0.8736868125077246,127.0,4659.255268880867,14394028032.000002,9.999843788160527e-05,0.0014682074581552514,20.369910274445957
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,0.5,48526,26983.0,0.5560524255038536,0.5704570745579689,0.8813831760293451,127.0,4656.548964069618,14394028032.000002,9.999848874058438e-05,0.0014682074581552514,39.61664184340315
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,1.0,97031,54272.0,0.5593264008409683,0.5746617060527048,0.8699590852407993,127.0,4642.701058814442,14394028032.000002,9.999937990674106e-05,0.0014682074581552514,79.6825551690018
MG3V,pressure_history_extract/MG3V pressure_step_history.csv,2.0,194042,108090.0,0.5570443512229312,0.575236289050824,0.8697034662598819,127.0,4643.93611867488,14394028032.000002,9.999991580829993e-05,0.0014682074581552514,158.69854415200112
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.001,117,161.0,1.376068376068376,0.008547008547008548,0.7094017094017094,6.0,23975.983882382512,14394028032.000002,9.880059196704524e-05,0.012049861233194343,1.940027658544289
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.005,505,363.0,0.7188118811881188,0.3702970297029703,0.9326732673267327,6.0,5633.279753001683,14394028032.000002,9.999994257481155e-05,0.012049861233194343,4.374099627649547
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.01,990,603.0,0.6090909090909091,0.43636363636363634,0.9656565656565657,6.0,5106.496806641815,14394028032.000002,9.999994257481155e-05,0.012049861233194343,7.266066323616188
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.05,4871,2456.0,0.5042085814001231,0.5050297680147814,0.9930199137754054,6.0,4893.203118905949,14394028032.000002,9.999994257481155e-05,0.012049861233194343,29.594459188725306
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.1,9721,4799.0,0.493673490381648,0.510955662997634,0.9965024174467647,6.0,4874.060526664311,14394028032.000002,9.999994257481155e-05,0.012049861233194343,57.82728405809965
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.25,24273,11426.0,0.47072879330943845,0.531125118444362,0.9985992666749063,6.0,4800.316329841735,14394028032.000002,9.999994257481155e-05,0.012049861233194343,137.68171445047855
RMT,pressure_history_extract/RMT pressure_step_history.csv,0.5,48526,22362.0,0.46082512467543174,0.540102213246507,0.9992993446812019,6.0,4737.933699512854,14394028032.000002,9.999994257481155e-05,0.012049861233194343,269.4589968966919
RMT,pressure_history_extract/RMT pressure_step_history.csv,1.0,97031,44080.0,0.4542878049283219,0.5461759643825169,0.9996495965206996,6.0,4694.296038389439,14394028032.000002,9.999994257481155e-05,0.012049861233194343,531.1578831592067
RMT,pressure_history_extract/RMT pressure_step_history.csv,2.0,194042,87365.0,0.4502375774316901,0.5499994846476536,0.9998196266787602,6.0,4641.699606533337,14394028032.000002,9.999994257481155e-05,0.012049861233194343,1052.7361266380237
